"page","idea"
"Products & Pricing","Discount rules (percent/fixed) per line"
"Purchasing","PO approval workflow (simple)"
"Suppliers","Supplier lead time field per SKU"
"Inventory","Reorder point per SKU per location"
"Warehousing","Pick list generation for orders"
"Manufacturing (BOM)","BOM cost roll-up calculation"
"Work Orders","Work order routing steps list"
"Quality","Incoming inspection record"
"Shipping & Delivery","Shipment status tracking"
"Returns & RMA","Return reason codes list"
"Support Tickets","Ticket assignment to agent"
"Projects","Project task board (kanban)"
"Time & Attendance","Overtime rule flags (manual)"
"HR","Employee contract documents upload"
"Expenses","Receipt attachment upload"
"Assets & Maintenance","Maintenance work request form"
"Reporting","KPI dashboard export snapshot"
"Admin & Security","Password policy (min length, complexity)"
"Dashboard","Recent activity feed (who changed what)"
"Customers & CRM","Multiple billing/shipping addresses per customer"
"Leads & Sales Pipeline","Lead-to-opportunity conversion"
"Quotes","Quote line item taxes"
"Sales Orders","Backorder handling (allow/forbid)"
"Invoicing","Credit note creation"
"Payments","Payment reconciliation notes"
"Products & Pricing","Currency support (single base + optional foreign)"
"Purchasing","3-way match fields (PO/receipt/invoice)"
"Suppliers","Supplier contract file upload"
"Inventory","Lot/batch tracking optional"
"Warehousing","Cycle count session creation"
"Manufacturing (BOM)","Make/buy flag per product"
"Work Orders","Work order time log per operation"
"Quality","Quality hold status on inventory"
"Shipping & Delivery","Print shipping labels (template, no paid API)"
"Returns & RMA","Return receipt to stock process"
"Support Tickets","Canned responses library"
"Projects","Project budget tracking (planned vs actual)"
"Time & Attendance","Break tracking"
"HR","Onboarding checklist per employee"
"Expenses","Per diem expense type"
"Assets & Maintenance","Asset depreciation schedule (straight-line)"
"Reporting","User activity audit report"
"Admin & Security","IP allowlist (optional)"
"Dashboard","Quick search bar across entities"
"Customers & CRM","Customer credit limit and alerts"
"Leads & Sales Pipeline","Opportunity value + probability"
"Quotes","Quote validity date and reminders"
"Sales Orders","Sales order allocation by available stock"
"Invoicing","Invoice due date calculation by terms"
"Payments","Multi-payment per invoice"
"Products & Pricing","Tiered pricing (qty breaks)"
"Purchasing","Supplier portal (read-only link, optional)"
"Suppliers","Supplier product catalog mapping"
"Inventory","Stock valuation method selector (FIFO avg simple)"
"Warehousing","Warehouse transfer order between locations"
"Manufacturing (BOM)","BOM scrap factor per component"
"Work Orders","Work order priority and scheduling date"
"Quality","Quality sampling plan fields"
"Shipping & Delivery","Delivery route sheet export"
"Returns & RMA","Return disposition (restock/scrap/repair)"
"Support Tickets","Ticket tags and filters"
"Projects","Project risk register"
"Time & Attendance","Time off request (vacation)"
"HR","Leave balances tracking"
"Expenses","Expense approval workflow"
"Assets & Maintenance","Asset location history"
"Reporting","Report scheduling (email optional, free SMTP)"
"Admin & Security","Session timeout and device logout"
"Dashboard","Custom dashboard layout per user"
"Customers & CRM","Customer account owner assignment"
"Leads & Sales Pipeline","Pipeline forecast by month"
"Quotes","Quote version history"
"Sales Orders","Order split shipments support"
"Invoicing","Invoice reminders queue"
"Payments","Cash drawer open/close log"
"Products & Pricing","Tax rules by region"
"Purchasing","Supplier RFQ (request for quote) records"
"Suppliers","Supplier bank details (secured)"
"Inventory","Inventory adjustments with reason codes"
"Warehousing","Barcode label print templates"
"Manufacturing (BOM)","BOM attachments (drawings)"
"Work Orders","Work order Gantt-like simple schedule"
"Quality","Quality CAPA (corrective action) tasks"
"Shipping & Delivery","Proof of delivery upload"
"Returns & RMA","Warranty return tracking"
"Support Tickets","Ticket watcher/CC list"
"Projects","Project document repository"
"Time & Attendance","Timesheet export to payroll CSV"
"HR","HR policies document page"
"Expenses","Expense categories management"
"Assets & Maintenance","Maintenance parts usage log"
"Reporting","Report builder (filters, grouping)"
"Admin & Security","Field-level permissions (read vs write)"
"Dashboard","Theme (light/dark) setting"
"Customers & CRM","Customer portal link (read-only invoices)"
"Leads & Sales Pipeline","Opportunity notes and next steps"
"Quotes","Quote to order conversion button"
"Sales Orders","Order approvals for high value"
"Invoicing","Invoice locking after posting"
"Payments","Payment allocation auto-suggest"
"Products & Pricing","Promotions with start/end dates"
"Purchasing","Purchase order PDF export"
"Suppliers","Supplier contacts role tags"
"Inventory","Inventory expiry date tracking"
"Warehousing","Warehouse picking routes (bin order)"
"Manufacturing (BOM)","BOM revision approval"
"Work Orders","Work order barcode traveler sheet"
"Quality","Quality defect codes list"
"Shipping & Delivery","Shipping cost estimation (manual)"
"Returns & RMA","RMA shipping label template"
"Support Tickets","Ticket merge duplicates"
"Projects","Project change request log"
"Time & Attendance","Attendance anomaly flags"
"HR","Employee emergency contacts"
"Expenses","Expense policy rules (limits)"
"Assets & Maintenance","Asset maintenance history"
"Reporting","Report permissions by role"
"Admin & Security","Admin settings change log"
"Dashboard","Favorites/shortcuts bar"
"Customers & CRM","Customer merge duplicate tool"
"Leads & Sales Pipeline","Lead assignment rules (round-robin)"
"Quotes","Quote email compose template"
"Sales Orders","Sales order line substitutions"
"Invoicing","Invoice batch generation"
"Payments","Record refunds"
"Products & Pricing","Product variants (size/color)"
"Purchasing","Purchase blanket orders"
"Suppliers","Supplier performance dashboard"
"Inventory","Stock reservation by order"
"Warehousing","Wave picking batches"
"Manufacturing (BOM)","BOM phantom assemblies"
"Work Orders","Work order completion checklist"
"Quality","Quality calibration records"
"Shipping & Delivery","Shipment contents (packages)"
"Returns & RMA","Return restocking fee calculation"
"Support Tickets","Ticket satisfaction rating field"
"Projects","Project time budget vs actual"
"Time & Attendance","Timesheet locking after payroll"
"HR","Job titles and pay grades"
"Expenses","Expense export to accounting CSV"
"Assets & Maintenance","Asset warranty dates tracking"
"Reporting","Report drill-down links"
"Admin & Security","API keys management"
"Dashboard","Notifications center (in-app)"
"Customers & CRM","Customer consent/marketing preferences"
"Leads & Sales Pipeline","Lead import from CSV"
"Quotes","Quote multi-currency totals"
"Sales Orders","Order line discounts"
"Invoicing","Invoice tax breakdown details"
"Payments","SEPA/IBAN fields (optional)"
"Products & Pricing","Units of measure conversions"
"Purchasing","Purchase order receipt (GRN) entry"
"Suppliers","Supplier tax/VAT fields"
"Inventory","Inventory multi-warehouse totals"
"Warehousing","Bin capacity tracking"
"Manufacturing (BOM)","BOM alternate routing (simple)"
"Work Orders","Work order yield and scrap recording"
"Quality","Quality trend charts"
"Shipping & Delivery","Shipment packing validation"
"Returns & RMA","Return inspection checklist"
"Support Tickets","Ticket escalation rules (manual)"
"Projects","Project dependencies list"
"Time & Attendance","Shift scheduling (manual)"
"HR","Employee training records"
"Expenses","Expense recurring claims (templates)"
"Assets & Maintenance","Asset tagging (QR code)"
"Reporting","Operational reports pack"
"Admin & Security","Data retention settings"
"Dashboard","Pinned filters per list view"
"Customers & CRM","Customer documents upload"
"Leads & Sales Pipeline","Opportunity stage change history"
"Quotes","Quote approval workflow"
"Sales Orders","Order promised date tracking"
"Invoicing","Invoice line item notes"
"Payments","Payment terms templates"
"Products & Pricing","Product categories and attributes"
"Purchasing","Purchase order change log"
"Suppliers","Supplier notes and tasks"
"Inventory","Inventory ABC classification"
"Warehousing","Cross-dock flag for receipts"
"Manufacturing (BOM)","BOM bulk import CSV"
"Work Orders","Work order split into sub-orders"
"Quality","Quality quarantine location enforcement"
"Shipping & Delivery","Shipment batch printing"
"Returns & RMA","Return to vendor process"
"Support Tickets","Ticket custom fields"
"Projects","Project portfolio view"
"Time & Attendance","Time rounding rules"
"HR","HR incident reporting"
"Expenses","Expense multi-currency (optional)"
"Assets & Maintenance","Maintenance technician assignment"
"Reporting","Finance aging reports"
"Admin & Security","SSO via SAML/OIDC (optional, self-hosted)"
"Dashboard","Global export button per module"
"Customers & CRM","Customer contact roles (billing/tech)"
"Leads & Sales Pipeline","Opportunity competitors field"
"Quotes","Quote line item images"
"Sales Orders","Order attachments upload"
"Invoicing","Invoice attachments upload"
"Payments","Payment gateway placeholder (manual)"
"Products & Pricing","Product image gallery"
"Purchasing","Purchase order line taxes"
"Suppliers","Supplier minimum order qty"
"Inventory","Inventory replenishment suggestions list"
"Warehousing","Warehouse receiving checklist"
"Manufacturing (BOM)","BOM component effective dates"
"Work Orders","Work order start/finish timestamps"
"Quality","Quality audit schedule"
"Shipping & Delivery","Shipment tracking number field"
"Returns & RMA","RMA repair work order link"
"Support Tickets","Ticket knowledge base links"
"Projects","Project custom statuses"
"Time & Attendance","Attendance kiosk mode (optional)"
"HR","Employee equipment issuance log"
"Expenses","Expense per project allocation"
"Assets & Maintenance","Asset disposal workflow"
"Reporting","Manufacturing reports"
"Admin & Security","User impersonation for support (admin-only)"
"Dashboard","Dashboard: my tasks"
"Customers & CRM","CRM: customer tasks/to-dos"
"Leads & Sales Pipeline","Pipeline: next action date"
"Quotes","Quotes: print-friendly view"
"Sales Orders","Orders: pick/pack status"
"Invoicing","Invoicing: invoice journal"
"Payments","Payments: bank statement import CSV"
"Products & Pricing","Products: cost fields (standard/last)"
"Purchasing","Purchasing: reorder suggestions to PO"
"Suppliers","Suppliers: supplier SKUs mapping"
"Inventory","Inventory: min/max levels"
"Warehousing","Warehousing: location barcode labels"
"Manufacturing (BOM)","BOM: multi-level explosion view"
"Work Orders","Work Orders: WIP status board"
"Quality","Quality: supplier quality metrics"
"Shipping & Delivery","Shipping: delivery notes"
"Returns & RMA","Returns: refund/credit workflow"
"Support Tickets","Tickets: ticket status board"
"Projects","Projects: task templates"
"Time & Attendance","Time: timesheet reminders"
"HR","HR: org chart"
"Expenses","Expenses: approvals inbox"
"Assets & Maintenance","Assets: maintenance calendar"
"Reporting","Reporting: custom charts"
"Admin & Security","Admin: backup/export data"
"Dashboard","Dashboard: announcements panel"
"Customers & CRM","CRM: customer journey stages"
"Leads & Sales Pipeline","Pipeline: opportunity attachments"
"Quotes","Quotes: quote clone"
"Sales Orders","Orders: order clone"
"Invoicing","Invoicing: invoice clone"
"Payments","Payments: payment receipt PDF"
"Products & Pricing","Products: bundle/kit products"
"Purchasing","Purchasing: request-to-PO conversion"
"Suppliers","Suppliers: preferred supplier per SKU"
"Inventory","Inventory: inventory ledger export"
"Warehousing","Warehousing: packing station view"
"Manufacturing (BOM)","BOM: component availability check"
"Work Orders","Work Orders: labor cost calc"
"Quality","Quality: inspection sampling results"
"Shipping & Delivery","Shipping: carrier account fields"
"Returns & RMA","Returns: restock inventory automatically"
"Support Tickets","Tickets: internal notes vs public"
"Projects","Projects: project templates"
"Time & Attendance","Time: shift notes"
"HR","HR: salary history (restricted)"
"Expenses","Expenses: corporate card reconciliation (manual)"
"Assets & Maintenance","Assets: spare parts inventory link"
"Reporting","Reporting: pivot-like tables"
"Admin & Security","Admin: data import wizard"
"Dashboard","Dashboard: alerts configuration"
"Customers & CRM","CRM: customer satisfaction fields"
"Leads & Sales Pipeline","Pipeline: pipeline per salesperson"
"Quotes","Quotes: approval thresholds"
"Sales Orders","Orders: credit hold handling"
"Invoicing","Invoicing: payment terms enforcement"
"Payments","Payments: write-off small balances"
"Products & Pricing","Products: tax category per product"
"Purchasing","Purchasing: supplier lead time analysis"
"Suppliers","Suppliers: NDA/contract tracking"
"Inventory","Inventory: multi-location transfers"
"Warehousing","Warehousing: stocktake variance report"
"Manufacturing (BOM)","BOM: costed BOM report"
"Work Orders","Work Orders: scrap reasons list"
"Quality","Quality: CAPA effectiveness check"
"Shipping & Delivery","Shipping: shipment cost allocation"
"Returns & RMA","Returns: exchange order creation"
"Support Tickets","Tickets: ticket templates"
"Projects","Projects: project profitability"
"Time & Attendance","Time: job costing timesheets"
"HR","HR: performance reviews"
"Expenses","Expenses: expense policy violations report"
"Assets & Maintenance","Assets: calibration schedule"
"Reporting","Reporting: export to JSON"
"Admin & Security","Admin: environment config page"
"Dashboard","Dashboard: calendar view"
"Customers & CRM","CRM: contact interaction reminders"
"Leads & Sales Pipeline","Pipeline: lost reason tracking"
"Quotes","Quotes: quote expiration automation"
"Sales Orders","Orders: shipment split across warehouses"
"Invoicing","Invoicing: VAT number validation (basic)"
"Payments","Payments: customer statements PDF"
"Products & Pricing","Products: serial number required flag"
"Purchasing","Purchasing: PO from reorder point"
"Suppliers","Suppliers: supplier communication log"
"Inventory","Inventory: serial tracking optional"
"Warehousing","Warehousing: pick confirmation scanning (manual entry)"
"Manufacturing (BOM)","BOM: routing time per operation"
"Work Orders","Work Orders: operation instructions"
"Quality","Quality: work instruction acknowledgments"
"Shipping & Delivery","Shipping: export to carrier CSV"
"Returns & RMA","Returns: RMA label print template"
"Support Tickets","Tickets: due date and reminders"
"Projects","Projects: resource allocation table"
"Time & Attendance","Time: absence calendar"
"HR","HR: disciplinary actions log"
"Expenses","Expenses: vendor list"
"Assets & Maintenance","Assets: asset check-in/out"
"Reporting","Reporting: saved filters share"
"Admin & Security","Admin: feature flags"
"Dashboard","Dashboard: multi-company switcher"
"Customers & CRM","CRM: customer groups"
"Leads & Sales Pipeline","Pipeline: probability-weighted forecast"
"Quotes","Quotes: quote to invoice direct (optional)"
"Sales Orders","Orders: fulfillment SLA targets"
"Invoicing","Invoicing: invoice approval before send"
"Payments","Payments: customer deposit handling"
"Products & Pricing","Products: vendor part numbers"
"Purchasing","Purchasing: landed cost fields"
"Suppliers","Suppliers: delivery performance metrics"
"Inventory","Inventory: negative stock prevention"
"Warehousing","Warehousing: bin-to-bin moves"
"Manufacturing (BOM)","BOM: byproduct/co-product fields"
"Work Orders","Work Orders: rework orders"
"Quality","Quality: deviation permits"
"Shipping & Delivery","Shipping: delivery appointment scheduling (manual)"
"Returns & RMA","Returns: return analytics"
"Support Tickets","Tickets: assignment rules"
"Projects","Projects: issue tracker"
"Time & Attendance","Time: mobile-friendly timesheet"
"HR","HR: training courses catalog"
"Expenses","Expenses: expense templates"
"Assets & Maintenance","Assets: asset insurance info"
"Reporting","Reporting: audit exports"
"Admin & Security","Admin: localization (language)"
"Dashboard","Dashboard: import/export shortcuts"
"Customers & CRM","CRM: customer notes rich text"
"Leads & Sales Pipeline","Pipeline: lead scoring (non-AI, rules)"
"Quotes","Quotes: quote line grouping"
"Sales Orders","Orders: order holds and reasons"
"Invoicing","Invoicing: invoice numbering per year"
"Payments","Payments: multi-bank accounts"
"Products & Pricing","Products: UoM rounding rules"
"Purchasing","Purchasing: supplier MOQ enforcement"
"Suppliers","Suppliers: supplier portal credentials (secured)"
"Inventory","Inventory: stock status (available/hold/damaged)"
"Warehousing","Warehousing: damaged stock workflow"
"Manufacturing (BOM)","BOM: ECO (engineering change order) log"
"Work Orders","Work Orders: material issue transactions"
"Quality","Quality: MRB disposition board"
"Shipping & Delivery","Shipping: packing slip templates"
"Returns & RMA","Returns: RTV (return to vendor) creation"
"Support Tickets","Tickets: escalation to manager"
"Projects","Projects: meeting minutes log"
"Time & Attendance","Time: time categories (billable/non)"
"HR","HR: employee certifications"
"Expenses","Expenses: approval delegation"
"Assets & Maintenance","Assets: maintenance triggers by usage"
"Reporting","Reporting: SQL view read-only (optional)"
"Admin & Security","Admin: encryption at rest (db-level)"
"Dashboard","Dashboard: user-defined KPIs"
"Customers & CRM","CRM: customer blacklist/blocked flag"
"Leads & Sales Pipeline","Pipeline: opportunity contact roles"
"Quotes","Quotes: quote discount approval"
"Sales Orders","Orders: partial invoicing"
"Invoicing","Invoicing: recurring invoices"
"Payments","Payments: dunning process states"
"Products & Pricing","Products: cost history"
"Purchasing","Purchasing: purchase budget tracking"
"Suppliers","Suppliers: supplier onboarding checklist"
"Inventory","Inventory: stock aging report"
"Warehousing","Warehousing: pick exception handling"
"Manufacturing (BOM)","BOM: make-to-order vs make-to-stock"
"Work Orders","Work Orders: capacity planning (simple)"
"Quality","Quality: supplier corrective actions"
"Shipping & Delivery","Shipping: multi-package shipments"
"Returns & RMA","Returns: repair tracking"
"Support Tickets","Tickets: attach files and screenshots"
"Projects","Projects: deliverables list"
"Time & Attendance","Time: timesheet comments"
"HR","HR: employee directory search"
"Expenses","Expenses: tax/VAT on expenses"
"Assets & Maintenance","Assets: asset depreciation report"
"Reporting","Reporting: KPI trend lines"
"Admin & Security","Admin: change approval workflow"
"Dashboard","Dashboard: drill into lists from cards"
"Customers & CRM","CRM: assign customer to territory"
"Leads & Sales Pipeline","Pipeline: pipeline velocity metrics"
"Quotes","Quotes: quote terms & conditions block"
"Sales Orders","Orders: order line due dates"
"Invoicing","Invoicing: proforma invoices"
"Payments","Payments: payment export (SEPA CSV)"
"Products & Pricing","Products: product lifecycle status"
"Purchasing","Purchasing: supplier quotes compare"
"Suppliers","Suppliers: supplier diversity fields"
"Inventory","Inventory: stock count by category"
"Warehousing","Warehousing: packing materials tracking"
"Manufacturing (BOM)","BOM: assembly instructions print"
"Work Orders","Work Orders: barcode traveler generation"
"Quality","Quality: final inspection sign-off"
"Shipping & Delivery","Shipping: delivery proof sign-off"
"Returns & RMA","Returns: customer return label request"
"Support Tickets","Tickets: ticket categories hierarchy"
"Projects","Projects: project stage gates"
"Time & Attendance","Time: location-based attendance (manual)"
"HR","HR: employee reminders (docs expiring)"
"Expenses","Expenses: reimburse via bank transfer export"
"Assets & Maintenance","Assets: asset utilization metrics"
"Reporting","Reporting: report subscriptions (RSS/email)"
"Admin & Security","Admin: GDPR export/delete tooling"
"Dashboard","Dashboard: error logs widget"
"Customers & CRM","CRM: customer VAT/tax IDs"
"Leads & Sales Pipeline","Pipeline: multi-currency opportunity amounts"
"Quotes","Quotes: quote attachments"
"Sales Orders","Orders: order attachments"
"Invoicing","Invoicing: invoice attachments preview"
"Payments","Payments: chargeback logging"
"Products & Pricing","Products: HS code/tariff fields"
"Purchasing","Purchasing: create PO from supplier quote"
"Suppliers","Suppliers: incoterms fields"
"Inventory","Inventory: stock by lot report"
"Warehousing","Warehousing: inbound appointment calendar"
"Manufacturing (BOM)","BOM: component reference designators"
"Work Orders","Work Orders: downtime logging"
"Quality","Quality: quality cost tracking"
"Shipping & Delivery","Shipping: export customs forms template"
"Returns & RMA","Returns: restock location selection"
"Support Tickets","Tickets: internal SLA breach flag"
"Projects","Projects: project KPI dashboard"
"Time & Attendance","Time: schedule vs actual"
"HR","HR: recruitment pipeline (non-AI)"
"Expenses","Expenses: expense audit sampling"
"Assets & Maintenance","Assets: work order linkage"
"Reporting","Reporting: export charts as SVG"
"Admin & Security","Admin: database maintenance tools"
"Dashboard","Dashboard: quick-create buttons"
"Customers & CRM","CRM: customer SLA fields"
"Leads & Sales Pipeline","Pipeline: lead qualification checklist"
"Quotes","Quotes: quote numbering series"
"Sales Orders","Orders: order numbering series"
"Invoicing","Invoicing: invoice posting date"
"Payments","Payments: cash application queue"
"Products & Pricing","Products: barcode/UPC fields"
"Purchasing","Purchasing: PO numbering series"
"Suppliers","Suppliers: supplier numbering series"
"Inventory","Inventory: inventory numbering series (bins)"
"Warehousing","Warehousing: warehouse numbering series"
"Manufacturing (BOM)","BOM: BOM numbering series"
"Work Orders","Work Orders: WO numbering series"
"Quality","Quality: NCR numbering series"
"Shipping & Delivery","Shipping: shipment numbering series"
"Returns & RMA","Returns: RMA numbering series"
"Support Tickets","Tickets: ticket numbering series"
"Projects","Projects: project numbering series"
"Time & Attendance","Time: timesheet numbering series"
"HR","HR: employee numbering series"
"Expenses","Expenses: expense claim numbering series"
"Assets & Maintenance","Assets: asset numbering series"
"Reporting","Reporting: report IDs catalog"
"Admin & Security","Admin: numbering series configuration"
"Dashboard","Dashboard: saved searches"
"Customers & CRM","CRM: customer custom fields"
"Leads & Sales Pipeline","Pipeline: custom fields per stage"
"Quotes","Quotes: quote line custom fields"
"Sales Orders","Orders: order line custom fields"
"Invoicing","Invoicing: invoice line custom fields"
"Payments","Payments: payment custom fields"
"Products & Pricing","Products: product custom fields"
"Purchasing","Purchasing: PO line custom fields"
"Suppliers","Suppliers: supplier custom fields"
"Inventory","Inventory: inventory custom fields"
"Warehousing","Warehousing: location custom fields"
"Manufacturing (BOM)","BOM: BOM custom fields"
"Work Orders","Work Orders: WO custom fields"
"Quality","Quality: inspection custom fields"
"Shipping & Delivery","Shipping: shipment custom fields"
"Returns & RMA","Returns: return custom fields"
"Support Tickets","Tickets: ticket custom fields"
"Projects","Projects: project custom fields"
"Time & Attendance","Time: time entry custom fields"
"HR","HR: employee custom fields"
"Expenses","Expenses: expense custom fields"
"Assets & Maintenance","Assets: asset custom fields"
"Reporting","Reporting: custom report fields"
"Admin & Security","Admin: custom field builder UI"
"Dashboard","Dashboard: multi-language labels"
"Customers & CRM","CRM: contact import/export"
"Leads & Sales Pipeline","Pipeline: bulk stage update"
"Quotes","Quotes: bulk quote status update"
"Sales Orders","Orders: bulk order status update"
"Invoicing","Invoicing: bulk invoice sending queue"
"Payments","Payments: bulk payment import"
"Products & Pricing","Products: bulk product import"
"Purchasing","Purchasing: bulk PO creation from CSV"
"Suppliers","Suppliers: bulk supplier import"
"Inventory","Inventory: bulk inventory adjust"
"Warehousing","Warehousing: bulk bin creation"
"Manufacturing (BOM)","BOM: bulk BOM import"
"Work Orders","Work Orders: bulk WO create"
"Quality","Quality: bulk inspection schedule"
"Shipping & Delivery","Shipping: bulk shipment create"
"Returns & RMA","Returns: bulk RMA create"
"Support Tickets","Tickets: bulk ticket assignment"
"Projects","Projects: bulk project task import"
"Time & Attendance","Time: bulk timesheet approval"
"HR","HR: bulk employee import"
"Expenses","Expenses: bulk expense approval"
"Assets & Maintenance","Assets: bulk asset import"
"Reporting","Reporting: bulk report export"
"Admin & Security","Admin: bulk operations audit"
"Dashboard","Dashboard: personal notes"
"Customers & CRM","CRM: customer call log template"
"Leads & Sales Pipeline","Pipeline: meeting scheduling fields"
"Quotes","Quotes: quote internal memo"
"Sales Orders","Orders: order internal memo"
"Invoicing","Invoicing: invoice internal memo"
"Payments","Payments: payment internal memo"
"Products & Pricing","Products: product internal memo"
"Purchasing","Purchasing: PO internal memo"
"Suppliers","Suppliers: supplier internal memo"
"Inventory","Inventory: inventory internal memo"
"Warehousing","Warehousing: warehouse internal memo"
"Manufacturing (BOM)","BOM: BOM internal memo"
"Work Orders","Work Orders: WO internal memo"
"Quality","Quality: quality internal memo"
"Shipping & Delivery","Shipping: shipping internal memo"
"Returns & RMA","Returns: return internal memo"
"Support Tickets","Tickets: ticket internal memo"
"Projects","Projects: project internal memo"
"Time & Attendance","Time: timesheet internal memo"
"HR","HR: HR internal memo"
"Expenses","Expenses: expense internal memo"
"Assets & Maintenance","Assets: asset internal memo"
"Reporting","Reporting: report internal memo"
"Admin & Security","Admin: notes permissions"
"Dashboard","Dashboard: system health status"
"Customers & CRM","CRM: customer duplicate detection (rules)"
"Leads & Sales Pipeline","Pipeline: duplicate lead detection (rules)"
"Quotes","Quotes: prevent duplicate quote numbers"
"Sales Orders","Orders: prevent duplicate order numbers"
"Invoicing","Invoicing: prevent duplicate invoice numbers"
"Payments","Payments: detect duplicate payments"
"Products & Pricing","Products: prevent duplicate SKU"
"Purchasing","Purchasing: prevent duplicate PO numbers"
"Suppliers","Suppliers: prevent duplicate supplier codes"
"Inventory","Inventory: detect negative stock"
"Warehousing","Warehousing: validate bin format"
"Manufacturing (BOM)","BOM: validate circular BOM"
"Work Orders","Work Orders: prevent closing with open steps"
"Quality","Quality: require sign-off before release"
"Shipping & Delivery","Shipping: prevent ship without pick"
"Returns & RMA","Returns: prevent refund without receipt"
"Support Tickets","Tickets: prevent close without resolution"
"Projects","Projects: prevent close with open tasks"
"Time & Attendance","Time: prevent approve with missing entries"
"HR","HR: require mandatory fields"
"Expenses","Expenses: require receipt over threshold"
"Assets & Maintenance","Assets: prevent dispose if assigned"
"Reporting","Reporting: validate filters"
"Admin & Security","Admin: validation rules engine"
"Dashboard","Dashboard: data freshness timestamps"
"Customers & CRM","CRM: customer address validation (basic)"
"Leads & Sales Pipeline","Pipeline: stage entry requirements"
"Quotes","Quotes: require customer before send"
"Sales Orders","Orders: require shipping address"
"Invoicing","Invoicing: require tax info"
"Payments","Payments: require payment date"
"Products & Pricing","Products: require UoM"
"Purchasing","Purchasing: require supplier before PO"
"Suppliers","Suppliers: require payment terms"
"Inventory","Inventory: require location"
"Warehousing","Warehousing: require bin for putaway"
"Manufacturing (BOM)","BOM: require at least one component"
"Work Orders","Work Orders: require BOM link"
"Quality","Quality: require inspector assignment"
"Shipping & Delivery","Shipping: require carrier selection"
"Returns & RMA","Returns: require reason code"
"Support Tickets","Tickets: require category"
"Projects","Projects: require owner"
"Time & Attendance","Time: require employee assignment"
"HR","HR: require contract dates"
"Expenses","Expenses: require expense date"
"Assets & Maintenance","Assets: require serial"
"Reporting","Reporting: require date range"
"Admin & Security","Admin: mandatory field configuration"
"Dashboard","Dashboard: export dashboard as PDF"
"Customers & CRM","CRM: customer statement page"
"Leads & Sales Pipeline","Pipeline: conversion rate report"
"Quotes","Quotes: quote pipeline report"
"Sales Orders","Orders: order backlog report"
"Invoicing","Invoicing: invoice aging report"
"Payments","Payments: payments received report"
"Products & Pricing","Products: product profitability report"
"Purchasing","Purchasing: spend analysis report"
"Suppliers","Suppliers: supplier performance report"
"Inventory","Inventory: inventory turnover report"
"Warehousing","Warehousing: pick accuracy report"
"Manufacturing (BOM)","BOM: BOM usage report"
"Work Orders","Work Orders: WO performance report"
"Quality","Quality: defect rate report"
"Shipping & Delivery","Shipping: on-time delivery report"
"Returns & RMA","Returns: return rate report"
"Support Tickets","Tickets: ticket volume report"
"Projects","Projects: project status report"
"Time & Attendance","Time: attendance report"
"HR","HR: headcount report"
"Expenses","Expenses: expense by category report"
